login,graph,degree_in,degree_out,betweenness,closeness,pagerank
Lennix,G1,0.0,0.000476,0.0,0.5,0.000288
Leonai-do,G1,0.001429,0.0,0.0,0.0,0.000414
Liflex,G1,0.0,0.0,0.0,0.0,0.000288
Linfee,G1,0.0,0.000476,0.0,0.5,0.000288
LiteracyFanatic,G1,0.000476,0.0,0.0,0.0,0.000289
LoackyBit,G1,0.0,0.0,0.0,0.0,0.000288
Logrui,G1,0.0,0.000476,0.0,0.5,0.000288
LoveJazzTZ,G1,0.0,0.0,0.0,0.0,0.000288
LuSrackhall,G1,0.000476,0.001429,3e-06,0.5,0.000289
LucianoDPerez,G1,0.000953,0.0,0.0,0.0,0.000538
Lucien-Liu,G1,0.0,0.0,0.0,0.0,0.000288
Luka123-cloud,G1,0.0,0.0,0.0,0.0,0.000288
Lukaa0,G1,0.0,0.000476,0.0,0.5,0.000288
LydiaCai1203,G1,0.0,0.000476,0.0,0.077684,0.000288
M7FX-1,G1,0.0,0.0,0.0,0.0,0.000288
MDean-Slalom,G1,0.002382,0.000476,3.3e-05,0.152174,0.001446
MDfly7,G1,0.0,0.001906,0.0,0.333333,0.000288
MRayermannMSFT,G1,0.0,0.000476,0.0,0.210526,0.000288
MRiabov,G1,0.000476,0.001429,7e-06,0.5,0.000289
MUHAMMEDHAFEEZ,G1,0.001906,0.0,0.0,0.0,0.000663
MadHuslista,G1,0.0,0.000476,0.0,0.5,0.000288
Magdoub,G1,0.0,0.000476,0.0,0.5,0.000288
MagicalBuilder,G1,0.0,0.000476,0.0,0.5,0.000288
MahmoudKhodier,G1,0.0,0.000476,0.0,0.5,0.000288
MahmoudMabrok,G1,0.0,0.000476,0.0,0.5,0.000288
MaksimShevtsov,G1,0.000953,0.0,0.0,0.0,0.000295
Maleick,G1,0.0,0.000476,0.0,0.5,0.000288
MannXo,G1,0.000953,0.000476,1e-06,0.333333,0.000295
Manu-Devloo,G1,0.003811,0.0,0.0,0.0,0.001772
MariusStorhaug,G1,0.000476,0.0,0.0,0.0,0.000291
MarkStokes-outlook,G1,0.0,0.000953,0.0,0.5,0.000288
MarkjoinedGit,G1,0.000953,0.0,0.0,0.0,0.000538
MartyBonacci,G1,0.003811,0.000476,5e-05,0.108374,0.001529
Matteaocha,G1,0.001906,0.0,0.0,0.0,0.001102
MauScheff,G1,0.002382,0.0,0.0,0.0,0.00115
Max-Levitskiy,G1,0.0,0.000953,0.0,0.285714,0.000288
MaxBarbet,G1,0.000953,0.0,0.0,0.0,0.000305
Maxim-Mazurok,G1,0.000953,0.000953,2.2e-05,0.127907,0.000316
MayaOber,G1,0.0,0.000476,0.0,0.127841,0.000288
MayurVirkar,G1,0.000953,0.000476,3e-06,0.107981,0.000301
MdStar1984,G1,0.0,0.0,0.0,0.0,0.000288
MeBadDev,G1,0.0,0.000476,0.0,0.5,0.000288
Mearman,G1,0.000476,0.0,0.0,0.0,0.000291
Medialordofficial,G1,0.0,0.000476,0.0,0.5,0.000288
Meir017,G1,0.0,0.000953,0.0,0.5,0.000288
Meirdrarel,G1,0.0,0.000476,0.0,0.090551,0.000288
Michael88888888888,G1,0.0,0.0,0.0,0.0,0.000288
MichalPetricek,G1,0.0,0.000476,0.0,0.5,0.000288
Mikaleb,G1,0.0,0.000476,0.0,0.5,0.000288
Mingholy,G1,0.0,0.000476,0.0,0.230769,0.000288
Mirza-Samad-Ahmed-Baig,G1,0.000476,0.0,0.0,0.0,0.0003
MisinformedDNA,G1,0.0,0.000953,0.0,0.136905,0.000288
Mistrox43,G1,0.000476,0.0,0.0,0.0,0.000293
MohannadHany-Envnt,G1,0.000476,0.0,0.0,0.0,0.000517
MomoChenisMe,G1,0.0,0.000476,0.0,0.16,0.000288
MonkeyCode-AI,G1,0.0,0.000476,0.0,0.077684,0.000288
MonuCarpenter,G1,0.001906,0.0,0.0,0.0,0.001994
Mr-Saxobeat,G1,0.0,0.0,0.0,0.0,0.000288
Mr-Youssry,G1,0.000953,0.0,0.0,0.0,0.000412
MrHinsh,G1,0.001906,0.0,0.0,0.0,0.000903
MrTrigger,G1,0.005241,0.0,0.0,0.0,0.002268
Muhabu,G1,0.000476,0.0,0.0,0.0,0.000289
Muhammadnoman1234,G1,0.0,0.0,0.0,0.0,0.000288
N0SAFE,G1,0.0,0.000476,0.0,0.211514,0.000288
NaikSoftware,G1,0.005241,0.000953,9.1e-05,0.375,0.002486
Napolitain,G1,0.003335,0.0,0.0,0.0,0.00153
NaviaSamal,G1,0.000953,0.0,0.0,0.0,0.000295
NebulaMao,G1,0.0,0.000476,0.0,0.333333,0.000288
Negashev,G1,0.0,0.000476,0.0,0.5,0.000288
NelsonBN,G1,0.0,0.000953,0.0,0.117073,0.000288
